Wanted,14
Woman,115
Attacks,4
Georgetown,1
Officer,430
Amid,1
Arrest,84
Attempt,5
Delta,1
Police,938
Shoots,224
Agitated,1
Suspect,651
After,355
Taser,26
Fails,2
to,52
Subdue,2
Him,84
Chicago,34
Officers,300
Fatally,95
Shoot,250
Stabbing,21
Man,542
in,420
The,86
Middle,2
of,197
Street,3
Intense,30
Shootout,123
With,442
Gunman,11
San,53
Jose,2
Apartment,16
Area,3
Bodycam,689
Shows,552
3,6
Knoxville,4
Shooting,387
Charging,32
at,251
Them,77
Knife,172
Dallas,10
Who,193
Moved,1
Towards,16
a,438
Cop,177
13-year-old,1
Boy,7
Armed,288
Pellet,5
Gun,243
Cedar,3
Hill,3
Chase,192
Ends,53
Florida,68
Attempts,6
Scale,1
Building,3
Avoid,5
Captures,93
Killed,10
2,21
Bristol,1
Connecticut,9
Nashville,9
Knife-Wielding,26
Rushing,1
Down,19
Stairwell,2
Toward,34
Greenville,7
County,73
Deputies,100
Stabbed,11
K-9,24
Micky,1
Long,6
Beach,14
Fleeing,71
Someone,1
Vancouver,3
and,110
Denver,15
Transgender,1
Person,1
Downtown,6
intersection,1
Charlotte,4
Caught,13
on,76
Camera,3
Stealing,7
Cash,3
From,104
Detainee,2
Dashcam,220
Fatal,58
Timothy,1
Michael,3
Randall,1
by,124
Rusk,1
Deputy,94
as,11
He,94
Throws,9
Away,15
Shot,268
Advancing,10
Outagamie,1
Beloit,1
Swords,3
Evades,1
Gunfire,21
While,66
5-Year-Old,1
Daughter,2
Watches,1
Minneapolis,2
Chasing,11
Foot,31
Atlanta,10
Suspects,22
Tesla,1
Indianapolis,4
Pointed,24
an,32
Blount,1
During,145
Battle,7
Rockford,2
16-year-old,6
Rifle,15
inside,13
Shirt,1
Taken,1
Family,6
Dollar,3
Store,6
LAPD,67
Cops,143
Running,20
Holding,41
Footage,271
That,21
injured,2
SWAT,12
Team,2
Members,1
Ogle,1
Illinois,16
Fired,26
For,39
Groping,1
incident,1
Encounter,5
Between,31
Three,2
Army,3
Veteran,1
Trae,1
Spurlock,1
Hotel,8
Hallway,2
Strasburg,1
Being,42
Struck,5
His,78
Own,8
Baton,5
Elderly,6
Scammed,1
Out,32
"40,000",1
Bitcoin,1
Scheme,1
Frantic,1
Former,7
Yakima,1
Kidnapped,3
Son,1
Oxnard,5
Advanced,5
Scissors,5
Felon,2
Vehicle,30
Refusing,10
Comply,1
Commands,4
Baltimore,17
Exchange,7
Restaurant,6
Georgia,16
Sniper,2
Bank,4
Robbery,56
Through,20
Computer,1
Monitor,1
Hostage,15
Situation,5
NYPD,32
Fires,17
Swings,2
Houston,28
Front,5
Hand,13
Approaching,7
Riverside,10
Grover,1
Replica,10
Ensues,1
Fugitive,5
Flees,6
Traffic,61
Stop,69
Francisco,11
Use,28
Nonlethal,1
Weapons,3
Crossbow,2
Ceres,1
Arm,3
Bulletproof,1
Vest,3
Runs,9
Fence,4
To,139
Catch,7
Pursuit,44
Helps,6
Diego,23
Take,12
Stolen,50
into,24
Custody,2
Pasadena,7
Fight,4
K9,18
St,5
Ann,1
Emergency,1
Call,14
Service,1
Hiding,8
Infant,1
Bushes,1
Holly,1
Charged,26
Locks,1
Himself,7
Backseat,2
Female,23
Attacking,11
L.A,7
Paint,1
Roller,1
Stockton,3
Fled,8
the,4
Backyard,1
Home,11
Fort,11
Worth,6
Bicycle,3
Leads,27
Freeway,2
Member,5
Greensboro,2
Machete,15
1-Mile,1
Oklahoma,24
City,23
Reaches,5
for,5
Charges,20
Despite,2
LMPD,8
Desperate,1
Crashes,22
Occupied,1
Tents,1
Hides,1
Dumpster,1
Evade,4
East,4
Hartford,3
Fire,43
Rammed,7
Cruiser,10
Auto,4
Shop,3
Anne,2
Arundel,1
Pointing,49
Boise,7
Hammer,7
Tases,2
Driver,60
Car,147
Dealership,3
Test,1
Drive,4
,31
Reckless,7
Jumping,5
Lake,10
Detroit,2
Stanislaus,2
Shots,5
Almost,3
Crushed,1
Faking,1
Yuma,1
Firing,34
Their,3
Guns,6
Two,23
Red-Handed,1
Register,1
Amazon,1
Worker,2
Ohio,25
Gets,189
Opens,6
Brandishing,3
Tulsa,21
Tudor,1
House,8
Inn,2
Pulls,16
Pocket,3
Wild,38
Video,166
Columbus,8
Teens,1
Hyundai,1
Simultaneously,1
Turlock,1
Black,3
Piece,2
Plastic,2
Okaloosa,1
Airman,1
Opened,5
Apartment's,1
Door,6
Men,3
Texas,24
points,1
AR15-Style,1
Before,58
Huber,2
Heights,4
Milwaukee,13
Lamborghini,1
Huracan,1
High-Speed,14
Windshield,7
Arlington,2
Carrying,3
LA,16
Domestic,14
Assault,6
Los,13
Angeles,13
Knives,15
Gas,11
Station,15
Returns,1
Witnessing,1
Outside,17
Naugatuck,2
Approached,2
Six,1
Miss,2
Attacked,8
U.S,5
Marshals,1
Table,1
Leg,8
Restraining,2
Order,3
Takes,6
Jumped,2
3rd,1
Story,1
Balcony,1
Austin,14
Complex,2
Child,10
Predator,2
Pulling,14
On,67
Seattle,27
Carjacking,25
Point,2
Clark,2
They,6
Whitehall,1
SUV,15
Passenger,4
Reached,5
As,41
Aimed,3
AK-47-Style,2
Weapon,5
Muscle,1
Patrol,20
involving,1
Accused,3
Killing,1
New,27
Mexico,8
State,23
Jacksonville,12
Wielding,27
Salt,5
Convenience,1
Richmond,5
AR-Style,2
Hillsborough,2
Tased,30
Harris,4
BB,15
Raleigh,6
Ambushed,3
Nevada,8
Times,8
Points,12
Steals,6
Tries,17
Get,11
Hitting,7
Parked,1
Cars,11
Narrowly,1
Missing,1
Hours,1
Negotiation,1
Grabbing,2
Officer’s,4
Repeatedly,8
Strike,1
Gain,1
Control,1
DC,7
Bend,1
Crash,38
Akron,4
Teen,20
Had,2
Fake,6
Surprise,1
Shotgun,14
Following,17
Dispute,6
Pacifica,1
Grabs,8
with,2
DUI,7
Bite,4
Hospital,3
Abducted,2
She,11
Was,16
instructions,1
Move,1
Precision,1
Pick/Hook,1
North,7
Fond,1
Du,1
Lac,1
Threatened,2
Kill,6
Albuquerque,15
Shoplifting,4
Horseback,1
Beanbag,1
Rounds,6
McDonald’s,2
Pima,1
Sword,5
Pablo,2
Metal,12
Pole,6
Lauderdale,1
14-year-old,2
Several,2
Neighborhoods,1
Decatur,3
Pulled,10
Disgruntled,1
Employee,1
Hijacks,1
Loader,2
Slow-Speed,1
NY,1
Troopers,11
Hung,1
Onto,5
Attempting,7
Carjack,5
it,4
El,3
Paso,1
At,78
Wash,1
Tallahassee,3
Drug-Related,1
Invasion,1
Collins,3
OC,1
Spray,2
Canister,1
Reaching,12
Firearm,1
Waistband,4
Covington,1
Struggle,11
Trespassing,2
Port,2
Orange,5
Couple,3
Arrested,15
Passing,2
And,64
Losing,1
Kids,3
Dog,23
Tracks,1
Responding,13
Violation,2
Dangling,1
Suspect's,7
Moving,3
PIT,21
Maneuver,23
Head,16
Westminster,1
Crowd,3
Ocean,1
Escape,9
Kent,1
Hatchet,3
Pikesville,1
Teenage,4
Lead,3
Videos,21
Show,15
IMPD,2
Southern,1
California,52
Supermarket,2
Exchanging,7
Ross,1
Sheriff's,6
Office,2
Appleton,1
Bar,4
Arizona,18
Exchanged,1
Thurston,1
Performing,1
Truck,18
Help,8
Choking,7
Candy,1
Ramming,8
Swinging,6
Object,2
Trooper,33
Springfield,4
Maryland,11
Break-in,2
Handgun,10
Modesto,6
Shower,1
Handle,2
Mother,10
Headlock,1
Her,16
Throat,1
Sheriff’s,5
Sexual,2
Run,10
Victim's,2
Residence,1
Student,7
Brought,1
Mesquite,4
School,7
Walks,3
Lakewood,1
Church,4
Starts,1
Ultimately,1
Discharged,1
Buffalo,5
York,5
Sacramento,14
33,1
Gunshots,2
Window,4
Steps,1
Rescue,30
Abandoned,1
Woods,1
On-the-Run,1
NJ,2
Slams,3
Chief,5
Hood,5
Showed,1
Up,10
Drunk,23
Scene,11
Mt,2
Shasta,1
Amtrak,1
Train,7
Fork,1
Thief,5
Antonio,14
Altercation,4
Moments,10
Tennessee,11
In,57
Cranford,1
12,1
13,1
year,1
old,1
Boys,1
Gunpoint,3
Parolee,2
Escondido,2
Gun-Wielding,2
Wounded,3
Officer-Involved,25
Unarmed,1
Mistaking,2
Falling,3
Acorn,1
Gunshot,2
Sergeant,6
Multi-County,1
Walton,1
Fountain,2
Disturbance,3
Phoenix,27
Robbing,2
Pawn,1
Bridgeport,1
Ansonia,1
Dismembered,1
Wife,7
Michigan,12
Drive-By,1
Multiple,11
People,9
Masked,3
19-year-old,5
Ambulance,3
Registered,1
Violent,8
Indiana,4
Rescues,3
Labrador,1
Retrievers,1
Clinging,2
Edge,1
icy,1
Pond,4
Thrown,2
Side,2
Highway,9
Longview,1
Throwing,4
Check,1
Attempted,5
Carried,1
One,3
Possible,1
Mesa,11
Cordless,1
Drill,1
Trapped,7
Relatives,1
N.J,3
Condo,1
Paul,4
Fresno,9
Burglary,21
Standoff,10
Combat,1
Bakersfield,7
A,8
Murder,7
Grafton,1
Wisconsin,8
Bystanders,2
Back,7
Revolver,1
Hatchet-Wielding,3
Hollywood,2
Called,1
911,4
Violence,4
Rochester,4
78-year-old,2
D.C,3
Execution-Style,1
Slaying,1
Of,186
Brooklyn,6
Neighbors,1
Refused,5
Drop,9
Lunges,3
Turn,1
Off,10
Watertown,1
Turned,1
Ended,1
Frederick,2
Greenspoint,1
Apartments,1
Ambush-Style,1
Attack,11
Park,5
Twice,2
Box,2
Cutter,1
Crashed,3
Detectives’,1
Vehicles,4
Morris,2
Sangamon,1
Juvenile,1
Detention,2
Center,2
Neck,6
Helicopter,5
BMW,2
Trying,31
Left,4
Fights,2
Got,2
Another,9
Disarm,3
Getting,9
Calabasas,1
Security,1
Guard,1
Rookie,1
Over,22
Bus,4
Seat,1
Steal,2
Corvette,1
Valet,1
Parking,8
Agent,3
London,1
Near,3
Screaming,1
Children,4
Room,4
is,7
Shown,1
Brick,1
Wrestle,1
Pants,1
Sandy,3
Van,8
Pistol,8
Idaho,5
Seated,1
Pick-Up,2
Albany,1
Hit,20
Pedestrian,1
Fencing,1
Mask,2
Handcuff,1
Tasing,4
Tempe,2
Waving,3
Whole,1
Foods,1
Market,2
Airsoft,5
Marion,3
Dirt,1
Bike,2
Rider,1
Good,4
Samaritans,4
Starbucks,2
Atwater,1
Prospect,1
Drug,4
Chinese,1
Consulate,1
Attacker,1
Sparks,5
Went,1
Rampage,1
Chainsaw,1
Grabbed,2
Wallingford,2
Raises,1
Large,7
Kitchen,3
Roof,4
Doctor's,1
Pinto,1
Providence,1
Rhode,1
Island,2
Father,4
Handcuffs,2
Women,3
Forest,1
Lakeville,1
Massachusetts,1
Crime,2
Spree,2
Walked,1
Colorado,17
Drivers,1
Interstate,2
Birmingham,1
Punches,5
Spat,1
Louisville,14
Barrage,3
Youngstown,1
Department’s,1
lobby,1
Newark,1
Double,4
Homicide,10
Raised,3
Thornton,3
Rescuing,7
Hostages,2
Queen,1
WA,2
Unleash,1
Bullets,2
Stab,5
Springs,6
Deadly,2
Confrontation,5
15-year-old,3
High,30
Football,1
Game,2
Barks,1
Like,1
Trick,1
Theft,15
Surrendering,2
Ta’Kiya,1
Young,2
63-year-old,1
Las,14
Vegas,14
Daytona,2
Uses,6
Tennis,1
Racket,1
Against,2
Choke,2
La,2
Secretary,1
Fellow,3
Englewood,2
Bucket,1
Found,2
Chained,1
Floor,2
Elevator,1
Skid,1
Row,1
Branson,1
Cadillac,1
Wildly,1
Harbor,2
Drowning,2
Portage,1
Bay,1
intense,2
Fargo,3
Montgomery,1
Lancaster,3
Skateboard,2
Middletown,1
Detective,3
She's,1
Elizabeth,1
Marker,1
Thought,2
Adams,1
Lakeside,1
Motel,5
Farmington,3
Hills,1
Crashing,13
West,7
Pickup,3
Leading,8
Vidor,1
Officer's,13
Accidentally,7
Discharges,1
Hits,9
Orlando,6
Ligonier,1
Valley,4
14-inch,1
Squad,3
Car's,1
Dumbbell,1
interfere,1
Face,9
Rapidly,1
Fully,1
Automatic,1
Filled,2
Merchandise,1
Punched,2
Resisting,10
Ada,1
impersonating,1
Marshal,3
Red,2
Light,2
Approaches,3
Minnesota,6
Threatens,3
Suspect’s,2
Genitals,1
Racine,2
Nearly,6
Axe,5
Threatening,4
Held,1
Robber,1
Falls,1
Ceiling,1
Recycling,1
Bin,1
intentionally,1
U-Haul,2
Conducting,2
Narcotics,2
investigation,2
Decided,1
Randomly,2
Throughout,1
Neighborhood,2
Suspected,6
Doctor,1
Lobby,1
Lets,1
Maul,1
Trooper's,2
Orders,1
Not,3
Release,3
Minors,1
Roy,1
Hours-Long,2
Crowded,1
Tampa,4
Huntington,1
Motorcycle,3
Pemberton,1
Jersey,6
Manchester,1
Bystander,4
Tackle,1
Speeding,4
Vallejo,2
Flee,13
Human,4
Smugglers,1
DPS,1
Let,2
Go,4
Baby,12
Old,2
Bridge,2
investigating,1
About,3
illegal,1
Fireworks,1
Cam,2
Using,11
End,8
Dayton,2
Arkansas,12
Sheriff,2
Search,2
Pig,1
Glendale,5
Loose,1
Goats,1
GRAPHIC,11
CONTENT,10
WARNING,10
Lorain,1
Bean,6
Bag,6
Round,1
Spiked,1
Lawn,1
Edger,1
Air,6
Unit,1
firing,1
Shrieks,1
Agony,1
Carrier,1
Bites,5
Screwdriver,5
Rantoul,1
Undercover,1
infant,1
Handcuffed,9
Trooper’s,1
Speed,30
Muskegon,1
Track,1
Mass,3
Shooter,5
Allen,1
Outlet,1
Mall,3
Cranston,1
Drags,2
Grappler,1
Bumper,1
Reports,1
Destroyed,1
Alarm,1
Ogden,1
Opening,10
Border,3
Agents,2
Wooden,3
Club,4
Tribal,2
Reservation,1
Moment,21
By,39
I,1
Wasn't,1
Even,1
Driving,11
Play,1
Dumb,1
Just,2
Days,1
Jail,2
Sitting,1
Rouge,2
Law,3
Gang,3
Merced,1
When,4
Ear,2
Standing,1
Saw,1
Fox,2
Makeshift,2
Spear,1
Cinco,1
de,1
Mayo,1
T-boned,1
False,1
Des,3
Plaines,1
Axe-Wielding,1
Canton,2
Comes,1
Tram,1
Drunken,1
Ejected,4
Ambush,2
Waco,1
Going,1
Wrong,6
Euclid,1
Rudy,1
Guadalupe,1
Gunfight,1
Holds,2
Short,8
Gun-Shaped,2
Butane,2
Lighter,3
Hydrant,1
Vineland,2
Santa,5
Ana,2
Pinellas,1
Launches,1
Tow,1
Ramp,1
Lowndes,1
South,8
Little,2
Rock,7
Snorting,1
Cocaine,2
Alleyway,1
Abduction,1
Led,4
Tucson,5
Dogs,2
Were,2
Avondale,1
18-year-old,2
Madison,1
Warrant,4
Anderson,1
77-year-old,1
17-year-old,1
Top,1
Court-Ordered,1
Eviction,1
He's,4
got,1
gun,1
Barricaded,3
Inside,11
Hyde,1
Brentwood,1
Bed,3
Frame,1
Brother,3
Wounds,1
Brother's,1
Dying,1
Intentionally,2
Into,43
Injuring,2
Crouched,1
Behind,4
Out-of-Control,1
Fairfax,1
LASD,1
Knocks,5
Unconscious,2
Continues,1
Beat,1
Partner,2
Injured,5
Deptford,1
Kalamazoo,1
Under,7
Scoped,1
Chaotic,1
17-Year-Old,1
Returned,1
Oregon,5
Flirting,1
Smuggling,2
Homeowner,1
MGM,1
Casino,1
Macy’s,1
Clarita,1
Undocumented,1
Migrants,1
Solon,1
Pursuing,2
Smuggle,1
Illegal,1
Immigrants,1
Knife-Throwing,1
US,1
Tried,5
Aurora,2
RTD,1
Enforcement,1
Cleveland,4
Chula,1
Vista,1
Hostage-Taker,1
Audrey,1
Hale,1
7-Eleven,1
Spike,3
Bat,5
Kicked,1
Seal,1
Steel,1
Elk,3
Grove,3
Holiday,1
Express,1
Bags,1
Lynchburg,1
Uncooperative,1
Spots,1
Open,4
Gun-Pointing,1
Gulfport,1
Teenager,4
Mississippi,1
Machete-Wielding,2
Girlfriend's,1
Popped,1
Anti-Anxiety,1
Pill,1
Picking,2
from,2
Body,7
Slammed,2
Paulding,1
Compton,1
Chair,1
Shreveport,1
Altadena,1
Hands,4
Wounding,2
Bergen,1
fired,1
Investigating,1
Apple,1
Watch,1
Investigation,2
Tracy,1
Seconds,2
Porch,1
An,5
Solano,1
McDonald's,3
Arms,2
Louisiana,6
Reportedly,1
Transporting,1
Drugs,2
Chased,2
Bath,1
Township,3
Road,3
Rage,1
Reno,3
Fremont,3
Shield,2
Hayward,2
Mariposa,1
Virginia,6
Break,3
Casper,2
Fishing,1
Orleans,2
Caesars,1
Superdome,1
Litchfield,1
Maricopa,2
Position,1
Backs,1
Mattress,2
OKCPD,1
Gov,1
Kathy,1
Hochul,1
PD,4
Bucyrus,1
Off-Duty,1
Vermont,2
Derrick,1
Kittling,1
Fairfield,1
Strip,1
Lot,7
Palmdale,1
Daycare,1
Warren,1
Bunnell,1
Girlfriend,3
Knifepoint,4
Patio,1
Answering,1
Town,1
Drives,2
Miami,1
Officers’,2
Lucie,1
Instead,1
Dramatic,8
Toki,1
Drove,1
Pizzeria,1
Performs,1
Triple,1
Apprehend,1
Rollover,4
Successful,1
Samurai,1
AK-47,1
Deputy-Involved,3
Slashes,1
Bradenton,1
Saying,1
Has,1
Flashlight,1
Haven,3
Rocks,2
Rosemead,1
Turns,5
Kidnaps,1
Bitten,1
CMPD,1
Carolina,12
Wolfe,1
Aiming,3
K9's,1
Toy,3
Biting,4
Rams,7
Hookah,1
Lounge,1
Rear,1
Wearing,1
